ID,Пол,Возраст,Родной язык,Язык интерфейс,Владение KZ,Владение RU,Владение EN,Регион/ Область,Населённый пункт,Миграционный статус,ПМЖ,Локация внутренней миграции,Прописка,Гражданство/проживание,Этап жизни,Триггер/привычка
Число,М/Ж,Число,kk / ru / оба,kk / ru ,базовый / средний / высокий,базовый / средний / высокий,базовый / средний / высокий,юг / север / восток / запад / центр,город / райцентр / аул,внутренний мигрант / внешний мигрант / постоянное место жительства / номад (не резидент РК),Город в котором живет постоянно,Города между которыми живет ,есть / нет,гражданин / ПМЖ / временно,ребенок / школьник / студент / работающий / безработный / пенсионер / декрет,текст
001,М,28,kk,ru,высокий,средний,базовый,юг,город,внутренний мигрант,Алматы,"Шымкент, Алматы",есть,гражданин,работающий,"Вырос в ауле, переехал в город ради учебы и работы. Чувствует себя немного чужим в большом городе, поэтому старается сохранять традиции и часто ездит в родной аул. Это дает ему чувство корней и стабильности."
002,Ж,45,ru,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Переехала из севера в центр в молодости. Чувство оторванности от корней компенсирует созданием очень стабильной и предсказуемой семейной жизни, что иногда воспринимается детьми как гиперконтроль."
003,М,65,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,Атырауская область,,есть,гражданин,пенсионер,"Распад СССР и экономическая нестабильность 90-х создали привычку к тотальной экономии и накоплению 'на черный день', даже когда в этом нет необходимости."
004,Ж,22,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Алматы,,есть,гражданин,студент,"Росла в обеспеченной семье, где все решения принимали за нее. В результате испытывает страх перед ответственностью и трудности с принятием самостоятельных решений."
005,М,35,ru,ru,средний,высокий,базовый,восток,город,внутренний мигрант,Усть-Каменогорск,"Усть-Каменогорск, Астана",нет,гражданин,безработный,"Внезапное закрытие завода, где он работал, породило глубокий страх перед нестабильностью. Теперь он избегает проектной или временной работы, упуская возможности."
006,Ж,30,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,Туркестанская область,,есть,гражданин,декрет,"Будучи старшим ребенком в многодетной семье, она с детства взяла на себя роль заботливой 'матери'. Этот паттерн определил ее выбор в пользу семьи, а не карьеры."
007,М,19,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Костанай,,есть,гражданин,студент,Врожденное заболевание ограничивало его физическую активность в детстве. Это привело к развитию интеллектуальных увлечений и привычке проводить большую часть времени в виртуальном мире.
008,Ж,50,ru,ru,средний,высокий,базовый,запад,райцентр,постоянное место жительства,Актюбинская область,,есть,гражданин,работающий,Тяжелый развод и финансовые трудности в прошлом породили в ней железную волю к независимости. Она склонна всё контролировать и с трудом доверяет людям в бизнесе и личной жизни.
009,М,25,оба,ru,базовый,высокий,высокий,юг,город,номад (не резидент РК),Алматы,,нет,временно,работающий,"Рутинная офисная работа в прошлом вызвала у него отвращение к стабильности. Теперь он постоянно ищет новые впечатления и избегает долгосрочных обязательств, как в работе, так и в отношениях."
010,Ж,16,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,школьник,"Постоянное давление родителей по поводу успеваемости вызывает у нее тревогу и внутренний протест, который она выражает через свое творчество, создавая мрачные и бунтарские рисунки."
